Name ,Brand,Cost (GBP),Operating Voltage (V),"Discharge Cutoff, Min. Cell Voltage (V)",Min Capacity (Ah),Max. Cont. Discharge Current (A),C Rating (Formula),C Rating (From Sheet),Cell duration at max. Cont. Discharge (Ah/A) [unit.= hours],"Cell Length (L, mm)",Cell Cross-Section (mm^2),Cell Diameter (mm),Cell Weight (KG) ,Number of Cells (Discharge Cutoff Voltage),PackWeight (Kg),PackVolume  (mm^3),PackCost (GBP),Output Capacity  (Ah),Max Pack Power (W),Cell Current (PackAt250W),"Difference: (Max Current Discharge) - (Cell Current, Power = 250) ",CellRunTimeAt250W (hour),
Li-Mn 3.7V 350mAh FT,'EFEST',3.9,3.7,3,0.35,1.4,4,4,0.25,44,80.91129594,10.15,0.018,10,0.18,35600.97021,39,3.5,51.8,6.756756757,-5.356756757,0.0518,
3.7V 2.2Ah FT,'Samsung',4.77,3.7,2.75,2.2,10,4.545454545,1,0.22,65,260.147615,18.2,0.044,11,0.484,186005.5447,52.47,24.2,407,6.142506143,3.857493857,0.35816,
3.7V 880mAh CT,'TrustFire',4.9,3.7,3,0.88,1.2,1.363636364,2,0.733333333,34,201.056,16,0.019,10,0.19,68359.04,49,8.8,44.4,6.756756757,-5.556756757,0.13024,
3.7V 650mAh CT,'EFEST',5.24,3.7,3,0.65,0.65,1,1,1,50.4,156.1404038,14.1,0.025,10,0.25,78694.76352,52.4,6.5,24.05,6.756756757,-6.106756757,0.0962,
3.7V 650mAh FT,'EFEST',5.9,3.7,3,0.65,0.975,1.5,1.5,0.666666667,50,153.9335,14,0.022,10,0.22,76966.75,59,6.5,36.075,6.756756757,-5.781756757,0.0962,
3.6V 2Ah FT,'Samsung',5.9,3.6,2.5,2,22,11,0.2,0.090909091,64.85,263.8772823,18.33,0.045,12,0.54,205349.3011,70.8,24,950.4,5.787037037,16.21296296,0.3456,
Li-Mn 3.7V 950mAh FT,'EFEST',5.9,3.7,3,0.95,14.25,15,15,0.066666667,65,153.9335,14,0.024,10,0.24,100056.775,59,9.5,527.25,6.756756757,7.493243243,0.1406,
Li-Mn 3.7V 700mAh CT,'EFEST',6,3.7,3,0.7,7,10,10,0.1,34,211.23446,16.4,0.046,10,0.46,71819.7164,60,7,259,6.756756757,0.243243243,0.1036,
3.7V 2.5Ah FT,'Samsung',6.02,3.7,2.5,2.5,20,8,0.2,0.125,64.9,263.8772823,18.33,0.045,12,0.54,205507.6275,72.24,30,888,5.630630631,14.36936937,0.444,
Li-Mn HD 3.7V 2Ah CT,'EFEST',7.21,3.7,3,2,20,10,10,0.1,65,254.4615,18,0.045,10,0.45,165399.975,72.1,20,740,6.756756757,13.24324324,0.296,
3.7V 2.5Ah T2,'NX',7.51,3.7,2.75,2.5,2.5,1,1,1,65.15,265.89656,18.4,0.045,11,0.495,190554.7697,82.61,27.5,101.75,6.142506143,-3.642506143,0.407,
